Malformed or incomplete keys detected in Eurostat JSON (GDP):
Key: 448 -- Dims: [448] -- IDs: ['unit', 'geo', 'time']
Key: 449 -- Dims: [449] -- IDs: ['unit', 'geo', 'time']
Key: 120 -- Dims: [120] -- IDs: ['unit', 'geo', 'time']
Key: 121 -- Dims: [121] -- IDs: ['unit', 'geo', 'time']
Key: 122 -- Dims: [122] -- IDs: ['unit', 'geo', 'time']
Key: 123 -- Dims: [123] -- IDs: ['unit', 'geo', 'time']
Key: 124 -- Dims: [124] -- IDs: ['unit', 'geo', 'time']
Key: 125 -- Dims: [125] -- IDs: ['unit', 'geo', 'time']
Key: 126 -- Dims: [126] -- IDs: ['unit', 'geo', 'time']
Key: 127 -- Dims: [127] -- IDs: ['unit', 'geo', 'time']
Key: 128 -- Dims: [128] -- IDs: ['unit', 'geo', 'time']
Key: 129 -- Dims: [129] -- IDs: ['unit', 'geo', 'time']
Key: 130 -- Dims: [130] -- IDs: ['unit', 'geo', 'time']
Key: 131 -- Dims: [131] -- IDs: ['unit', 'geo', 'time']
Key: 132 -- Dims: [132] -- IDs: ['unit', 'geo', 'time']
Key: 133 -- Dims: [133] -- IDs: ['unit', 'geo', 'time']
Key: 134 -- Dims: [134] -- IDs: ['unit', 'geo', 'time']
Key: 135 -- Dims: [135] -- IDs: ['unit', 'geo', 'time']
Key: 136 -- Dims: [136] -- IDs: ['unit', 'geo', 'time']
Key: 137 -- Dims: [137] -- IDs: ['unit', 'geo', 'time']
Key: 138 -- Dims: [138] -- IDs: ['unit', 'geo', 'time']
Key: 139 -- Dims: [139] -- IDs: ['unit', 'geo', 'time']
Key: 140 -- Dims: [140] -- IDs: ['unit', 'geo', 'time']
Key: 141 -- Dims: [141] -- IDs: ['unit', 'geo', 'time']
Key: 142 -- Dims: [142] -- IDs: ['unit', 'geo', 'time']
Key: 143 -- Dims: [143] -- IDs: ['unit', 'geo', 'time']
Key: 144 -- Dims: [144] -- IDs: ['unit', 'geo', 'time']
Key: 145 -- Dims: [145] -- IDs: ['unit', 'geo', 'time']
Key: 146 -- Dims: [146] -- IDs: ['unit', 'geo', 'time']
Key: 147 -- Dims: [147] -- IDs: ['unit', 'geo', 'time']
Key: 148 -- Dims: [148] -- IDs: ['unit', 'geo', 'time']
Key: 149 -- Dims: [149] -- IDs: ['unit', 'geo', 'time']
Key: 180 -- Dims: [180] -- IDs: ['unit', 'geo', 'time']
Key: 181 -- Dims: [181] -- IDs: ['unit', 'geo', 'time']
Key: 182 -- Dims: [182] -- IDs: ['unit', 'geo', 'time']
Key: 183 -- Dims: [183] -- IDs: ['unit', 'geo', 'time']
Key: 184 -- Dims: [184] -- IDs: ['unit', 'geo', 'time']
Key: 185 -- Dims: [185] -- IDs: ['unit', 'geo', 'time']
Key: 186 -- Dims: [186] -- IDs: ['unit', 'geo', 'time']
Key: 187 -- Dims: [187] -- IDs: ['unit', 'geo', 'time']
Key: 188 -- Dims: [188] -- IDs: ['unit', 'geo', 'time']
Key: 189 -- Dims: [189] -- IDs: ['unit', 'geo', 'time']
Key: 190 -- Dims: [190] -- IDs: ['unit', 'geo', 'time']
Key: 191 -- Dims: [191] -- IDs: ['unit', 'geo', 'time']
Key: 192 -- Dims: [192] -- IDs: ['unit', 'geo', 'time']
Key: 193 -- Dims: [193] -- IDs: ['unit', 'geo', 'time']
Key: 194 -- Dims: [194] -- IDs: ['unit', 'geo', 'time']
Key: 195 -- Dims: [195] -- IDs: ['unit', 'geo', 'time']
Key: 196 -- Dims: [196] -- IDs: ['unit', 'geo', 'time']
Key: 197 -- Dims: [197] -- IDs: ['unit', 'geo', 'time']
Key: 198 -- Dims: [198] -- IDs: ['unit', 'geo', 'time']
Key: 199 -- Dims: [199] -- IDs: ['unit', 'geo', 'time']
Key: 200 -- Dims: [200] -- IDs: ['unit', 'geo', 'time']
Key: 201 -- Dims: [201] -- IDs: ['unit', 'geo', 'time']
Key: 202 -- Dims: [202] -- IDs: ['unit', 'geo', 'time']
Key: 203 -- Dims: [203] -- IDs: ['unit', 'geo', 'time']
Key: 204 -- Dims: [204] -- IDs: ['unit', 'geo', 'time']
Key: 205 -- Dims: [205] -- IDs: ['unit', 'geo', 'time']
Key: 206 -- Dims: [206] -- IDs: ['unit', 'geo', 'time']
Key: 207 -- Dims: [207] -- IDs: ['unit', 'geo', 'time']
Key: 208 -- Dims: [208] -- IDs: ['unit', 'geo', 'time']
Key: 209 -- Dims: [209] -- IDs: ['unit', 'geo', 'time']
Key: 150 -- Dims: [150] -- IDs: ['unit', 'geo', 'time']
Key: 151 -- Dims: [151] -- IDs: ['unit', 'geo', 'time']
Key: 152 -- Dims: [152] -- IDs: ['unit', 'geo', 'time']
Key: 153 -- Dims: [153] -- IDs: ['unit', 'geo', 'time']
Key: 154 -- Dims: [154] -- IDs: ['unit', 'geo', 'time']
Key: 155 -- Dims: [155] -- IDs: ['unit', 'geo', 'time']
Key: 156 -- Dims: [156] -- IDs: ['unit', 'geo', 'time']
Key: 157 -- Dims: [157] -- IDs: ['unit', 'geo', 'time']
Key: 158 -- Dims: [158] -- IDs: ['unit', 'geo', 'time']
Key: 159 -- Dims: [159] -- IDs: ['unit', 'geo', 'time']
Key: 160 -- Dims: [160] -- IDs: ['unit', 'geo', 'time']
Key: 161 -- Dims: [161] -- IDs: ['unit', 'geo', 'time']
Key: 162 -- Dims: [162] -- IDs: ['unit', 'geo', 'time']
Key: 163 -- Dims: [163] -- IDs: ['unit', 'geo', 'time']
Key: 164 -- Dims: [164] -- IDs: ['unit', 'geo', 'time']
Key: 165 -- Dims: [165] -- IDs: ['unit', 'geo', 'time']
Key: 166 -- Dims: [166] -- IDs: ['unit', 'geo', 'time']
Key: 167 -- Dims: [167] -- IDs: ['unit', 'geo', 'time']
Key: 168 -- Dims: [168] -- IDs: ['unit', 'geo', 'time']
Key: 169 -- Dims: [169] -- IDs: ['unit', 'geo', 'time']
Key: 170 -- Dims: [170] -- IDs: ['unit', 'geo', 'time']
Key: 171 -- Dims: [171] -- IDs: ['unit', 'geo', 'time']
Key: 172 -- Dims: [172] -- IDs: ['unit', 'geo', 'time']
Key: 173 -- Dims: [173] -- IDs: ['unit', 'geo', 'time']
Key: 174 -- Dims: [174] -- IDs: ['unit', 'geo', 'time']
Key: 175 -- Dims: [175] -- IDs: ['unit', 'geo', 'time']
Key: 176 -- Dims: [176] -- IDs: ['unit', 'geo', 'time']
Key: 177 -- Dims: [177] -- IDs: ['unit', 'geo', 'time']
Key: 178 -- Dims: [178] -- IDs: ['unit', 'geo', 'time']
Key: 179 -- Dims: [179] -- IDs: ['unit', 'geo', 'time']
Key: 30 -- Dims: [30] -- IDs: ['unit', 'geo', 'time']
Key: 31 -- Dims: [31] -- IDs: ['unit', 'geo', 'time']
Key: 32 -- Dims: [32] -- IDs: ['unit', 'geo', 'time']
Key: 33 -- Dims: [33] -- IDs: ['unit', 'geo', 'time']
Key: 34 -- Dims: [34] -- IDs: ['unit', 'geo', 'time']
Key: 35 -- Dims: [35] -- IDs: ['unit', 'geo', 'time']
Key: 36 -- Dims: [36] -- IDs: ['unit', 'geo', 'time']
Key: 37 -- Dims: [37] -- IDs: ['unit', 'geo', 'time']
Key: 38 -- Dims: [38] -- IDs: ['unit', 'geo', 'time']
Key: 39 -- Dims: [39] -- IDs: ['unit', 'geo', 'time']
Key: 40 -- Dims: [40] -- IDs: ['unit', 'geo', 'time']
Key: 41 -- Dims: [41] -- IDs: ['unit', 'geo', 'time']
Key: 42 -- Dims: [42] -- IDs: ['unit', 'geo', 'time']
Key: 43 -- Dims: [43] -- IDs: ['unit', 'geo', 'time']
Key: 44 -- Dims: [44] -- IDs: ['unit', 'geo', 'time']
Key: 45 -- Dims: [45] -- IDs: ['unit', 'geo', 'time']
Key: 46 -- Dims: [46] -- IDs: ['unit', 'geo', 'time']
Key: 47 -- Dims: [47] -- IDs: ['unit', 'geo', 'time']
Key: 48 -- Dims: [48] -- IDs: ['unit', 'geo', 'time']
Key: 49 -- Dims: [49] -- IDs: ['unit', 'geo', 'time']
Key: 50 -- Dims: [50] -- IDs: ['unit', 'geo', 'time']
Key: 51 -- Dims: [51] -- IDs: ['unit', 'geo', 'time']
Key: 52 -- Dims: [52] -- IDs: ['unit', 'geo', 'time']
